team,link,stadium_name,total_capacity,lawn_heating,field_length,field_width
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,Ostseestadion,29.000,ja,120,80
VfL Osnabrück,/vfl-osnabruck/spielplan/verein/81/saison_id/,Bremer Brücke,16.098,ja,105,68
FV Ravensburg,/fv-ravensburg/spielplan/verein/10780/saison_id/,cteam arena,3.000,nein,,
SV Babelsberg 03,/sv-babelsberg-03/spielplan/verein/90/saison_id/,Karl-Liebknecht-Stadion,10.787,nein,,
BFC Preussen,/bfc-preussen/spielplan/verein/4700/saison_id/,Preussenstadion Malteserstraße (Hauptplatz),7.000,nein,98,74
SV Drochtersen/Assel,/sv-drochtersen-assel/spielplan/verein/10213/saison_id/,Kehdinger Stadion,2.500,nein,,
FC 08 Villingen,/fc-08-villingen/spielplan/verein/951/saison_id/,MS-Technologie-Arena,12.000,nein,,
1.FC Germania Egestorf/Langreder,/1-fc-germania-egestorf-langreder/spielplan/verein/10381/saison_id/,Stadion an der Ammerke,3.000,nein,,
SC Hauenstein,/sc-hauenstein/spielplan/verein/2162/saison_id/,Stadion am Neding,3.500,nein,,
Eintracht Norderstedt,/eintracht-norderstedt/spielplan/verein/117/saison_id/,Edmund-Plambeck-Stadion,5.068,nein,,
SG Wattenscheid 09,/sg-wattenscheid-09/spielplan/verein/97/saison_id/,Lohrheidestadion,16.233,nein,,
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,Jahnstadion Regensburg,15.210,ja,105,68
FSV Zwickau,/fsv-zwickau/spielplan/verein/275/saison_id/,GGZ-Arena,10.134,ja,,
1.FC Schweinfurt 05,/1-fc-schweinfurt-05/spielplan/verein/103/saison_id/,Sachs-Stadion,16.500,nein,105,68
TuS Koblenz,/tus-koblenz/spielplan/verein/996/saison_id/,Stadion Oberwerth,9.500,ja,105,68
Germania Halberstadt,/germania-halberstadt/spielplan/verein/364/saison_id/,Friedensstadion,5.000,nein,,
Leher TS Bremerhaven,/leher-ts-bremerhaven/spielplan/verein/9470/saison_id/,Bezirkssportanlage Speckenbüttel Platz 2,600,nein,,
1.FC Rielasingen-Arlen,/1-fc-rielasingen-arlen/spielplan/verein/24718/saison_id/,Sportanlage an den Talwiesen Fußballplatz 2,1.760,nein,,
SV Eichede,/sv-eichede/spielplan/verein/4882/saison_id/,Ernst-Wagener-Stadion,3.000,nein,,
Lüneburger SK Hansa,/luneburger-sk-hansa/spielplan/verein/18324/saison_id/,Sportanlage Sülzwiesen (A-Platz),4.000,nein,,
Rot-Weiß Erfurt,/rot-weiss-erfurt/spielplan/verein/111/saison_id/,Steigerwaldstadion,18.711,ja,105,68
Bonner SC,/bonner-sc/spielplan/verein/215/saison_id/,Sportpark Nord,10.164,nein,100,68
SV Morlautern,/sv-morlautern/spielplan/verein/26837/saison_id/,Stadion am Kieferberg,1.000,nein,,
Sportfreunde Dorfmerkingen,/sportfreunde-dorfmerkingen/spielplan/verein/1410/saison_id/,Ingenieurbeton Röser Arena,2.000,nein,,
1.FC Saarbrücken,/1-fc-saarbrucken/spielplan/verein/1/saison_id/,Ludwigsparkstadion,16.003,ja,,
BSG Chemie Leipzig,/bsg-chemie-leipzig/spielplan/verein/9572/saison_id/,Alfred-Kunze-Sportpark,4.999,nein,104,62
SSV Ulm 1846,/ssv-ulm-1846/spielplan/verein/69/saison_id/,Donaustadion,17.400,ja,105,68
SV Rödinghausen,/sv-rodinghausen/spielplan/verein/26957/saison_id/,Häcker Wiehenstadion,3.140,nein,105,68
SC Weiche Flensburg 08,/sc-weiche-flensburg-08/spielplan/verein/10284/saison_id/,Manfred-Werner-Stadion,2.500,nein,,
VfR Wormatia Worms,/vfr-wormatia-worms/spielplan/verein/158/saison_id/,EWR-Arena Worms,5.624,nein,,
SV Linx,/sv-linx/spielplan/verein/657/saison_id/,Hans-Weber Stadion,3.000,nein,,
1.CfR Pforzheim,/1-cfr-pforzheim/spielplan/verein/30006/saison_id/,KRAMSKI-ARENA,6.500,nein,,
TuS Dassendorf,/tus-dassendorf/spielplan/verein/907/saison_id/,Sportanlage Wendelweg,2.500,nein,,
Rot-Weiß Oberhausen,/rot-weiss-oberhausen/spielplan/verein/57/saison_id/,Stadion Niederrhein,17.165,ja,110,75
1.FC Lok Stendal,/1-fc-lok-stendal/spielplan/verein/4043/saison_id/,Stadion am Hölzchen,6.500,nein,,
TSV Steinbach,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
TSV Steinbach,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
TuS Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
TuS Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
SSV Jeddeloh II,/ssv-jeddeloh-ii/spielplan/verein/6776/saison_id/,HASKAMP-Arena,2.000,nein,,
BSC Hastedt,/bsc-hastedt/spielplan/verein/29638/saison_id/,Sportanlage Jakobsberg,300,nein,,
SC Verl,/sc-verl/spielplan/verein/93/saison_id/,SPORTCLUB Arena,5.153,nein,,
KFC Uerdingen 05,/kfc-uerdingen-05/spielplan/verein/95/saison_id/,Grotenburg-Stadion,34.500,ja,,
Alemannia Aachen,/alemannia-aachen/spielplan/verein/8/saison_id/,Tivoli,32.960,ja,105,68
FC Viktoria 1889 Berlin,/fc-viktoria-1889-berlin/spielplan/verein/40373/saison_id/,Stadion Lichterfelde,3.600,nein,108,70
FSV Wacker Nordhausen,/fsv-wacker-nordhausen/spielplan/verein/490/saison_id/,Albert-Kuntz-Sportpark Platz 3,1.500,nein,,
KSV Baunatal,/ksv-baunatal/spielplan/verein/1315/saison_id/,Parkstadion,7.578,nein,105,67
SV Atlas Delmenhorst,/sv-atlas-delmenhorst/spielplan/verein/29988/saison_id/,Städtisches Stadion (Platz A),4.999,nein,,
FC Oberneuland,/fc-oberneuland/spielplan/verein/115/saison_id/,Marko Mock Arena,5.050,nein,,
VfB Eichstätt,/vfb-eichstatt/spielplan/verein/5646/saison_id/,Liqui Moly Stadion,3.000,nein,,
SV Waldhof Mannheim,/sv-waldhof-mannheim/spielplan/verein/85/saison_id/,Carl-Benz-Stadion,25.721,nein,,
TSV Havelse,/tsv-havelse/spielplan/verein/476/saison_id/,Wilhelm-Langrehr-Stadion,3.500,nein,105,70
SV Todesfelde,/sv-todesfelde/spielplan/verein/7025/saison_id/,Joda-Sportpark,1.500,nein,,
VSG Altglienicke,/vsg-altglienicke/spielplan/verein/17847/saison_id/,HOWOGE-Arena „Hans Zoschke“,9.900,nein,,
RSV Meinerzhagen,/rsv-meinerzhagen/spielplan/verein/1931/saison_id/,Stadion an der Oststraße,8.000,nein,,
MTV Eintracht Celle,/mtv-eintracht-celle/spielplan/verein/17835/saison_id/,Immobilien-Wilharm-Arena,2.000,nein,,
FV Engers 07,/fv-engers-07/spielplan/verein/2085/saison_id/,Stadion am Wasserturm,4.000,nein,,
FSV Union Fürstenwalde,/fsv-union-furstenwalde/spielplan/verein/5300/saison_id/,Bonava-Arena,5.000,nein,,
SC Wiedenbrück,/sc-wiedenbruck/spielplan/verein/4955/saison_id/,Jahnstadion,2.550,nein,108,69
TSV Steinbach Haiger,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
TSV Steinbach Haiger,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
1.FC Düren,/1-fc-duren/spielplan/verein/67453/saison_id/,Westkampfbahn,6.000,nein,,
Greifswalder FC,/greifswalder-fc/spielplan/verein/48991/saison_id/,Volksstadion Greifswald,4.900,nein,,
SpVgg Bayreuth,/spvgg-bayreuth/spielplan/verein/752/saison_id/,Hans-Walter-Wild-Stadion,21.500,ja,,
1. FC Lokomotive Leipzig,/1-fc-lokomotive-leipzig/spielplan/verein/497/saison_id/,Bruno-Plache-Stadion,12.321,nein,104,68
Wuppertaler SV,/wuppertaler-sv/spielplan/verein/299/saison_id/,Stadion am Zoo,23.067,ja,105,68
FC Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
FC Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
VfL Oldenburg,/vfl-oldenburg/spielplan/verein/6128/saison_id/,Hans-Prull-Stadion,3.500,nein,,
Türkgücü München,/turkgucu-munchen/spielplan/verein/12456/saison_id/,Stadion im ATS-Sportpark,2.800,nein,,
1.FC Kaan-Marienborn,/1-fc-kaan-marienborn/spielplan/verein/10226/saison_id/,Herkules Arena,4.000,nein,,
TSG Neustrelitz,/tsg-neustrelitz/spielplan/verein/1151/saison_id/,Parkstadion,7.000,nein,,
SV Straelen,/sv-straelen/spielplan/verein/1068/saison_id/,Stadion Römerstraße,3.500,nein,,
Einheit Wernigerode,/einheit-wernigerode/spielplan/verein/7021/saison_id/,Mannsberg-Stadion,4.000,nein,,
TSV Schott Mainz,/tsv-schott-mainz/spielplan/verein/9695/saison_id/,Bezirkssportanlage Mainz-Mombach,2.500,nein,,
SV Oberachern,/sv-oberachern/spielplan/verein/8354/saison_id/,Waldsee-Stadion,1.600,nein,,
Blau-Weiß Lohne,/blau-weiss-lohne/spielplan/verein/4883/saison_id/,Heinz-Dettmer-Stadion,6.000,nein,,
FC Teutonia 05 Ottensen,/fc-teutonia-05-ottensen/spielplan/verein/14361/saison_id/,Stadion Hoheluft,5.004,nein,,
TuS Bersenbrück,/tus-bersenbruck/spielplan/verein/18603/saison_id/,Hasestadion (A-Platz),3.000,nein,,
TSG Balingen,/tsg-balingen/spielplan/verein/834/saison_id/,Bizerba-Arena (Spielfeld 1),8.000,nein,,
FC Gütersloh,/fc-gutersloh/spielplan/verein/220/saison_id/,Ohlendorf Stadion im Heidewald,12.500,nein,105,68
Rostocker FC 1895,/rostocker-fc-1895/spielplan/verein/5647/saison_id/,Sportplatz Damerower Weg,2.000,nein,,
TuS Makkabi Berlin,/tus-makkabi-berlin/spielplan/verein/5008/saison_id/,Julius-Hirsch-Sportanlage,3.500,nein,,
1.FC Phönix Lübeck,/1-fc-phonix-lubeck/spielplan/verein/2773/saison_id/,Buniamshof,8.549,nein,,
VfV Borussia 06 Hildesheim,/vfv-borussia-06-hildesheim/spielplan/verein/2540/saison_id/,Friedrich-Ebert-Stadion,10.000,nein,105,66
