player_name,match_link,home_team
Marcel Trojandt,/spielbericht/index/spielbericht/2479802,True
Dustin Scheibe,/spielbericht/index/spielbericht/2479802,True
Armin Kilz,/spielbericht/index/spielbericht/2479802,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2479802,True
Andy Wendschuch,/spielbericht/index/spielbericht/2479802,True
Ramón Hofmann,/spielbericht/index/spielbericht/2479802,True
Alexander Langner,/spielbericht/index/spielbericht/2479802,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2479802,True
Patrick Baldauf,/spielbericht/index/spielbericht/2479802,False
Marcus Bäcker,/spielbericht/index/spielbericht/2479802,False
Matthias Oehme,/spielbericht/index/spielbericht/2479802,False
Martin Salis,/spielbericht/index/spielbericht/2479802,False
Marcus Schubert,/spielbericht/index/spielbericht/2479802,False
Matthias Buszkowiak,/spielbericht/index/spielbericht/2479802,False
Christian Wegener,/spielbericht/index/spielbericht/2479802,False
Leo Hinrichsmeyer,/spielbericht/index/spielbericht/2479802,False
Daniel Sommermeyer,/spielbericht/index/spielbericht/2479802,False
Michael Schmidt,/spielbericht/index/spielbericht/2479802,False
Patrik Schlegel,/spielbericht/index/spielbericht/2479802,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2479807,True
Markus Krug,/spielbericht/index/spielbericht/2479807,True
Damian Paszlinski,/spielbericht/index/spielbericht/2479807,True
Marcel Trojandt,/spielbericht/index/spielbericht/2479807,True
Dustin Scheibe,/spielbericht/index/spielbericht/2479807,True
Armin Kilz,/spielbericht/index/spielbericht/2479807,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2479807,True
Andy Wendschuch,/spielbericht/index/spielbericht/2479807,True
Ramón Hofmann,/spielbericht/index/spielbericht/2479807,True
Alexander Langner,/spielbericht/index/spielbericht/2479807,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2479807,True
Tim Ackermann,/spielbericht/index/spielbericht/2479807,False
Gary Häußler,/spielbericht/index/spielbericht/2479807,False
